artist;song;duration_ms;year;tempo;genre;energy;key;loudness
G-Eazy;Good Life (with G-Eazy & Kehlani);225520;2017;168.073;hip hop, pop;0.778;1;-5.208
Silentó;Watch Me (Whip / Nae Nae);185131;2015;139.982;hip hop;0.768;8;-8.522
Chris Brown;Forever;278573;2008;120.005;hip hop, pop, R&B;0.82;11;-4.456
Timbaland;If We Ever Meet Again (Featuring Katy Perry);292706;2009;126.091;hip hop, pop, R&B;0.605;8;-7.371
Katy Perry;This Is How We Do;204285;2013;96.0;pop;0.636;9;-6.028
James Morrison;Broken Strings;250453;2008;111.91;pop, R&B;0.717;1;-4.914
Eminem;River (feat. Ed Sheeran);221013;2017;90.09;hip hop;0.749;8;-5.916
Youngbloodz;Damn! (feat. Lil' Jon) - Club Mix;298600;2003;84.038;hip hop, pop;0.724;6;-5.799
Céline Dion;A New Day Has Come - Radio Remix;259773;2001;91.969;pop;0.691;6;-5.103
P.O.D.;Youth of the Nation;256240;2001;97.867;rock, metal;0.86;8;-7.533
Nickelback;Someday;207466;2003;163.118;rock, metal;0.858;11;-5.659
Lil Wayne;How To Love;240306;2011;153.992;hip hop, pop;0.661;11;-6.093
Rihanna;We Found Love;215226;2011;127.985;hip hop, pop, R&B;0.766;1;-4.485
Jonas Brothers;Only Human;183000;2019;94.01;pop;0.496;0;-5.883
Rae Sremmurd;No Type;200080;2015;125.01;hip hop, pop;0.486;6;-7.803
fun.;We Are Young (feat. Janelle Monáe);250626;2012;184.086;rock, pop;0.638;10;-5.576
Linkin Park;In the End;216880;2000;105.143;rock, metal;0.864;3;-5.87
XXXTENTACION;changes;121886;2018;64.934;hip hop;0.308;11;-10.068
50 Cent;"Wanksta - From ""8 Mile"" Soundtrack";219400;2003;81.008;hip hop, pop;0.863;1;-3.552
Chris Brown;Look At Me Now (feat. Lil' Wayne & Busta Rhymes);222586;2011;146.155;hip hop, pop, R&B;0.677;11;-6.128
Avril Lavigne;What the Hell;220706;2011;149.976;pop;0.926;6;-3.689
Imagine Dragons;Whatever It Takes;201240;2017;134.945;rock;0.655;10;-5.021
DJ Snake;Taki Taki (feat. Selena Gomez, Ozuna & Cardi B);212500;2019;95.881;hip hop, pop, Dance/Electronic;0.801;8;-4.167
5 Seconds of Summer;Easier;157492;2019;175.813;pop;0.428;5;-5.604
Calvin Harris;Feels (feat. Pharrell Williams, Katy Perry & Big Sean);223413;2017;101.018;hip hop, pop, Dance/Electronic;0.745;11;-3.105
P!nk;Raise Your Glass;202960;2010;122.019;pop;0.709;7;-5.006
Jaheim;Put That Woman First;245773;2002;78.935;pop, R&B;0.536;5;-8.804
Swedish House Mafia;One (Your Name) - Radio Edit;163246;2010;125.061;pop, Dance/Electronic;0.673;9;-6.572
Lady Gaga;Bad Romance;294573;2009;119.001;pop;0.921;0;-3.755
Rob $tone;Chill Bill (feat. J. Davi$ & Spooks);177184;2016;108.034;hip hop;0.427;6;-10.028
Mis-Teeq;All I Want - Sunship Radio Edit;207400;2004;134.079;pop, Dance/Electronic;0.919;9;-3.07
The-Dream;I Luv Your Girl;267866;2007;90.063;hip hop, pop, R&B;0.322;8;-9.702
Mann;Buzzin Remix;224333;2011;104.029;hip hop, pop;0.939;10;-4.372
Big Sean;Bounce Back;222360;2017;81.502;hip hop, pop;0.575;1;-5.628
Rascal Flatts;Life is a Highway;276773;2006;103.055;country;0.936;5;-5.409
Destiny's Child;Jumpin', Jumpin';230200;1999;88.997;pop, R&B;0.685;1;-4.639
Avicii;Wake Me Up;247426;2013;124.08;pop, Dance/Electronic;0.783;2;-5.697
Post Malone;Goodbyes (Feat. Young Thug);174960;2019;150.231;hip hop;0.653;5;-3.818
David Guetta;This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016);207272;2016;110.169;hip hop, pop, Dance/Electronic;0.915;9;-3.456
Bridgit Mendler;Ready or Not;200946;2012;93.043;pop;0.872;2;-3.835
Akon;Locked Up;235066;2004;89.987;pop;0.579;7;-4.475
Robbie Williams;Somethin' Stupid;170493;2001;106.191;pop, rock;0.515;0;-12.185
Bruno Mars;Just the Way You Are;220734;2010;109.021;pop;0.841;5;-5.379
Marshmello;One Thing Right;181823;2019;88.042;pop, Dance/Electronic;0.625;4;-2.253
Calvin Harris;Giant (with Rag'n'Bone Man);229184;2019;122.015;hip hop, pop, Dance/Electronic;0.887;1;-4.311
Blazin' Squad;Crossroads - Radio Edit;188693;2012;144.188;set();0.746;4;-5.153
Blue;U Make Me Wanna - Radio Edit;222400;2003;158.108;pop;0.736;7;-6.228
Chris Brown;Loyal (feat. Lil Wayne & Tyga);264946;2014;99.059;hip hop, pop, R&B;0.522;10;-5.963
Kendrick Lamar;HUMBLE.;177000;2017;150.018;hip hop;0.625;1;-6.779
Trey Songz;Na Na;231906;2015;96.975;hip hop, pop, R&B;0.476;9;-6.253
Rihanna;Shut Up And Drive;212280;2008;132.964;hip hop, pop, R&B;0.826;1;-4.902
Dominic Fike;3 Nights;177666;2018;151.891;rock, pop;0.518;7;-6.594
